objectid,parentid,cmacno,nmmno,filename,title,datedisplay,datesort,datemade,datemadecirca,datemadeend,datelostdisplay,datelostsort,datelost,datelostcirca,datelostend,datelostspeculate,datefounddisplay,datefound,datefoundend,datefoundspeculate,shipwreck,shipwreckname,shipwreckdatedisplay,shipwreckdate,shipwreckdatecirca,shipwreckdescription,shipwreckurl,recoverylat,recoverylong,knownlocationother,knownlocationlat,knownlocationlong,knownlocationprivate,knownlocationpublic,knownlocationpublicurl,knownlocationpublicobject,fragments,watersstimsontypeabrvicon,watersstimsontype,taxonomy,diameter,thickness,thicknesstop,thicknessbottom,weight,scale,maker,makersign,makerfamily,condition,nationalitycard,nationality,markscategories,marksdescription,critiquesofauthenticity,notes,referencespublic,referencespersonalcomm,latitude,longitude,format,type,source,identifier,language,rights,rightsstatement
cmacno001,,1,1,,Palermo,1540,1540,1540,,,,,,,,,,,,,no,,,,,,,38.11166696,13.35321063,"public collection, possibly missing",40.84378705,14.24078995,,"National Museum of San Martino, Naples, Italy",,,,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",200,15,15,,,0-90-0,unknown,,,good,Portuguese,Portuguese?,quintuple dots cross; date,Quintuple dots cross on the ends of the horizontal posts. Date: 1540.,,"The five dots forming a cross seem to be typical of Portuguese astrolabes. This specimen was originally in the Astronomical Observatory at Palermo, Sicily, Italy, and was offered in 1935 to the Museo Nazionale di Palermo. Disapeared in the WW2.","Stimson, 1988",,,,record,,,,,,
cmacno002,,2,2,,Dundee,1555,1555,1555,,,,,,,,,,,,,no,,,,,,,,,public collection,56.46269125,-2.971049545,,"The McManus Art Gallery & Museum, Dundee, Scotland",https://www.mcmanus.co.uk/,,,1a.svg,Ia6,"wheel type with base ballast, complex base ballast",222,16,16,,2900,90-0-90,unknown,,,fine,Portuguese,Portuguese?,quintuple dots cross; date,Quintuple dots cross. Date: 1555. Text: On the reverse ANDREW SMYTON 1688. Mark: X on alidade.,,"Belongued to Andrew Smyton, ship master. Rev. Dr. Dick (1774-1857) gave it to the Dundee Watt Institution. In 1950 it passed to the Dundee City Museum, in Scotland.","Stimson, 1988",,,,record,,,,,,
cmacno003,,3,3,,Krabb,1582,1582,1582,,,,,,,,,,,,,no,,,,,,,,,public collection,30.38489254,-81.49801436,,"Fort Caroline National Memorial, Jacksonville, Florida, USA",https://www.nps.gov/timu/learn/historyculture/foca.htm,,,4.svg,IV,planisphere,179,11,11,,2168,0-90-0-90-0,Johannes Krabbe,JOHANNES KRABBE,,fine,German,German,date; maker name,Date: 1582. Text: FACIEBAT IOHANNES KRABBE MUNDENSIS.,,"Part of the Sir John Findlay Collection. Purchased at Sotheby's in 1962 by congressman Charles E. Bennett and offered to the Fort Caroline National Memorial, Jacksonville, Florida,","Stimson, 1988",,,,record,,,,,,
cmacno004,,4,4,,Greenwich / Valencia,pre-1588,1588,,,1588,ca. 1588,1588,1588,ca. ,,,1845,1845,,,no,,,,,,,"51.909855624459254,",-10.40655955,public collection,51.48118618,-0.005247660427,,"National Maritime Museum, Greenwich, UK",https://www.rmg.co.uk/national-maritime-museum,https://www.rmg.co.uk/collections/objects/rmgc-object-42234,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",178,17,17,,2270,unnumbered,unknown,,,good,Portuguese,Portuguese?,double circle,Double circle incised on the ballast. Decorated pin head. Three vertical lines marking the center and sides of the post.,,"Found at Valencia Island, Ireland, 1845.","Stimson, 1988",,,,multiple,,,,,,
cmacno004img1,cmacno004,,,cmacno004img1.png,"Frontal view, (c) National Maritime Museum, Greenwich, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rmg.co.uk/collections/objects/rmgc-object-42234,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,
cmacno005,,5,5,,Kronborg,1600,1600,1600,,,,,,,,,1918,1918,,,no,,,,,,,,,public collection,56.0391777,12.61599197,,"Sofartsmuseet, Helsingør, Denmark",https://mfs.dk/,,,2a.svg,IIa,semi-sphere with base ballast,340,18,18,,5100,0-90-0; 90-0-90,unknown,,,good,unknown,[unknown],fleurs de lis cross,Four fleurs de lis. Date: 1600.,provenience unknown,"Acquired from an antiques dealer, by the Sofartsmuseet, Denmark, in 1918, no earlier provenience; same fleurs de lis as NMM 12.","Stimson, 1988",,,,record,,,,,,
cmacno006,,6,6,,Vera Cruz / Oxford,date unknown,,,,,,,,,,,1903,1903,,,unknown,,,,,,,19.20307519,-96.1240261,public collection,51.75441406,-1.255360259,,"Museum of the History of Science, Oxford, UK",https://hsm.ox.ac.uk/,https://hsm.ox.ac.uk/collections-online#/item/hsm-catalogue-2287,,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",184,10t / 19b,10,19,1870,90-0; 0-90,unknown,,,good,Spanish,Spanish?,stars; A,Inverted heart sut-out in the ballast. Marks: * / A,,"Dredged from Vera Cruz harbor, Mexico, in 1903; sold to privates and then Museum of the History of Science, Oxford, England.","Stimson, 1988",,,,multiple,,,,,,
cmacno006img1,cmacno006,,,cmacno006img1.png,"Frontal view, (c) Museum of the History of Science, Oxford, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://hsm.ox.ac.uk/collections-online#/item/hsm-catalogue-2287,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,
cmacno007,,7,7,,Manila / Barlow,1602,1602,1602,,,,,,,,,1917,1917,,,unknown,,,,,,,14.58514887,120.947934,public collection,38.89171713,-77.0259903,,"Smithsonian Institution, Washington D.C., USA",https://www.si.edu/,https://americanhistory.si.edu/collections/object/nmah_997159,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",176,16t / 19b,16,19,2500,90-0-90,unknown,,,good,Portuguese,Portuguese?,date,Date: 1602.,,"Dredged from Manila harbor, Philippines; currently on loan to Smithsonian Institution in Washington DC; alidade & axis pin & butterfly nut suspected not original.","Stimson, 1988",,,,multiple,,,,,,
cmacno007img1,cmacno007,,,cmacno007img1.png,"Frontal view, (c) Smithsonian Institution, Washington D.C., USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://americanhistory.si.edu/collections/object/nmah_997159,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,
